DATE,WILL5000INDFC
2013-07-25,73.12
2013-07-26,73.13
2013-07-29,72.85
2013-07-30,72.93
2013-07-31,72.94
2013-08-01,73.93
2013-08-02,74.03
2013-08-05,73.99
2013-08-06,73.51
2013-08-07,73.19
2013-08-08,73.51
2013-08-09,73.34
2013-08-12,73.30
2013-08-13,73.41
2013-08-14,73.05
2013-08-15,71.99
2013-08-16,71.76
2013-08-19,71.30
2013-08-20,71.71
2013-08-21,71.32
2013-08-22,71.97
2013-08-23,72.26
2013-08-26,72.04
2013-08-27,70.82
2013-08-28,71.02
2013-08-29,71.26
2013-08-30,70.91
2013-09-02,.
2013-09-03,71.21
2013-09-04,71.78
2013-09-05,71.90
2013-09-06,71.95
2013-09-09,72.75
2013-09-10,73.31
2013-09-11,73.53
2013-09-12,73.28
2013-09-13,73.48
2013-09-16,73.83
2013-09-17,74.21
2013-09-18,75.09
2013-09-19,75.02
2013-09-20,74.52
2013-09-23,74.18
2013-09-24,74.07
2013-09-25,73.92
2013-09-26,74.24
2013-09-27,73.96
2013-09-30,73.59
2013-10-01,74.27
2013-10-02,74.20
2013-10-03,73.52
2013-10-04,74.05
2013-10-07,73.37
2013-10-08,72.38
2013-10-09,72.34
2013-10-10,73.95
2013-10-11,74.48
2013-10-14,74.80
2013-10-15,74.26
2013-10-16,75.27
2013-10-17,75.83
2013-10-18,76.39
2013-10-21,76.38
2013-10-22,76.79
2013-10-23,76.41
2013-10-24,76.73
2013-10-25,76.98
2013-10-28,77.02
2013-10-29,77.41
2013-10-30,76.95
2013-10-31,76.67
2013-11-01,76.83
2013-11-04,77.18
2013-11-05,76.97
2013-11-06,77.18
2013-11-07,76.06
2013-11-08,77.09
2013-11-11,77.17
2013-11-12,77.02
2013-11-13,77.71
2013-11-14,78.05
2013-11-15,78.39
2013-11-18,77.98
2013-11-19,77.73
2013-11-20,77.48
2013-11-21,78.22
2013-11-22,78.61
2013-11-25,78.50
2013-11-26,78.63
2013-11-27,78.88
2013-11-28,.
2013-11-29,78.84
2013-12-02,78.58
2013-12-03,78.32
2013-12-04,78.26
2013-12-05,78.00
2013-12-06,78.79
2013-12-09,78.92
2013-12-10,78.66
2013-12-11,77.73
2013-12-12,77.55
2013-12-13,77.64
2013-12-16,78.14
2013-12-17,77.97
2013-12-18,79.16
2013-12-19,79.07
2013-12-20,79.62
2013-12-23,80.12
2013-12-24,80.39
2013-12-25,.
2013-12-26,80.73
2013-12-27,80.69
2013-12-30,80.70
2013-12-31,81.04
2014-01-01,.
2014-01-02,80.34
2014-01-03,80.38
2014-01-06,80.13
2014-01-07,80.66
2014-01-08,80.67
2014-01-09,80.69
2014-01-10,80.94
2014-01-13,79.92
2014-01-14,80.83
2014-01-15,81.24
2014-01-16,81.19
2014-01-17,80.89
2014-01-20,.
2014-01-21,81.17
2014-01-22,81.30
2014-01-23,80.62
2014-01-24,78.89
2014-01-27,78.36
2014-01-28,78.96
2014-01-29,78.13
2014-01-30,79.11
2014-01-31,78.65
2014-02-03,76.74
2014-02-04,77.33
2014-02-05,77.16
2014-02-06,78.09
2014-02-07,79.11
2014-02-10,79.24
2014-02-11,80.09
2014-02-12,80.17
2014-02-13,80.73
2014-02-14,81.07
2014-02-17,.
2014-02-18,81.30
2014-02-19,80.74
2014-02-20,81.28
2014-02-21,81.20
2014-02-24,81.71
2014-02-25,81.64
2014-02-26,81.75
2014-02-27,82.17
2014-02-28,82.29
2014-03-03,81.73
2014-03-04,83.06
2014-03-05,83.07
2014-03-06,83.19
2014-03-07,83.19
2014-03-10,83.10
2014-03-11,82.62
2014-03-12,82.72
2014-03-13,81.75
2014-03-14,81.64
2014-03-17,82.35
2014-03-18,83.01
2014-03-19,82.47
2014-03-20,82.89
2014-03-21,82.63
2014-03-24,82.09
2014-03-25,82.35
2014-03-26,81.61
2014-03-27,81.49
2014-03-28,81.84
2014-03-31,82.61
2014-04-01,83.34
2014-04-02,83.57
2014-04-03,83.32
2014-04-04,82.14
2014-04-07,81.15
2014-04-08,81.57
2014-04-09,82.52
2014-04-10,80.71
2014-04-11,79.88
2014-04-14,80.43
2014-04-15,80.92
2014-04-16,81.83
2014-04-17,81.99
2014-04-18,.
2014-04-21,82.31
2014-04-22,82.78
2014-04-23,82.51
2014-04-24,82.58
2014-04-25,81.72
2014-04-28,81.82
2014-04-29,82.27
2014-04-30,82.55
2014-05-01,82.63
2014-05-02,82.59
2014-05-05,82.72
2014-05-06,81.90
2014-05-07,82.29
2014-05-08,82.06
2014-05-09,82.25
2014-05-12,83.21
2014-05-13,83.15
2014-05-14,82.70
2014-05-15,81.98
2014-05-16,82.29
2014-05-19,82.67
2014-05-20,82.05
2014-05-21,82.69
2014-05-22,82.98
2014-05-23,83.39
2014-05-26,.
2014-05-27,83.95
2014-05-28,83.84
2014-05-29,84.28
2014-05-30,84.35
2014-06-02,84.40
2014-06-03,84.35
2014-06-04,84.58
2014-06-05,85.24
2014-06-06,85.69
